IP:PORT, LOSS, DELAY
188.114.97.98:4198,0.00%,242 ms
162.159.192.193:942,0.00%,242 ms
188.114.97.56:987,0.00%,242 ms
162.159.192.251:8854,0.00%,242 ms
162.159.192.112:987,0.00%,242 ms
188.114.96.16:3476,0.00%,242 ms
188.114.97.60:988,0.00%,242 ms
162.159.192.165:934,0.00%,242 ms
188.114.98.255:880,0.00%,242 ms
162.159.192.114:987,0.00%,242 ms
162.159.192.120:1014,0.00%,242 ms
188.114.98.100:1387,0.00%,242 ms
188.114.97.68:988,0.00%,242 ms
162.159.192.117:891,0.00%,242 ms
188.114.99.0:880,0.00%,242 ms
162.159.192.90:988,0.00%,242 ms
188.114.98.100:939,0.00%,242 ms
188.114.96.102:1387,0.00%,242 ms
162.159.192.175:934,0.00%,242 ms
188.114.96.141:4233,0.00%,242 ms
188.114.98.207:8886,0.00%,242 ms
188.114.96.153:3581,0.00%,242 ms
188.114.97.2:1010,0.00%,242 ms
188.114.98.230:864,0.00%,242 ms
188.114.97.138:968,0.00%,242 ms
188.114.97.108:968,0.00%,242 ms
188.114.99.79:500,0.00%,242 ms
188.114.96.89:1387,0.00%,243 ms
188.114.96.103:1387,0.00%,243 ms
188.114.98.139:894,0.00%,243 ms
188.114.99.46:894,0.00%,243 ms
162.159.192.54:988,0.00%,243 ms
162.159.192.55:988,0.00%,243 ms
188.114.97.49:987,0.00%,243 ms
188.114.98.141:894,0.00%,243 ms
188.114.99.52:500,0.00%,243 ms
188.114.97.86:8854,0.00%,243 ms
188.114.96.37:4177,0.00%,243 ms
188.114.97.151:3138,0.00%,243 ms
188.114.96.63:1387,0.00%,243 ms
188.114.96.151:3581,0.00%,243 ms
188.114.96.211:988,0.00%,243 ms
188.114.97.57:987,0.00%,243 ms
188.114.97.57:988,0.00%,243 ms
188.114.97.46:1010,0.00%,243 ms
188.114.99.246:1701,0.00%,243 ms
162.159.192.195:934,0.00%,243 ms
162.159.192.195:942,0.00%,243 ms
162.159.192.120:891,0.00%,243 ms
162.159.192.97:988,0.00%,243 ms
162.159.192.110:987,0.00%,243 ms
162.159.192.91:942,0.00%,243 ms
162.159.192.98:942,0.00%,243 ms
188.114.99.1:4177,0.00%,243 ms
162.159.195.108:894,0.00%,243 ms
162.159.192.90:942,0.00%,243 ms
188.114.97.143:968,0.00%,243 ms
188.114.97.50:988,0.00%,243 ms
188.114.97.106:890,0.00%,243 ms
162.159.195.78:4177,0.00%,243 ms
162.159.192.243:1074,0.00%,243 ms
188.114.97.106:968,0.00%,243 ms
162.159.192.55:942,0.00%,243 ms
188.114.96.154:3581,0.00%,243 ms
188.114.96.36:4177,0.00%,243 ms
188.114.96.255:1010,0.00%,243 ms
188.114.99.80:894,0.00%,243 ms
188.114.97.139:890,0.00%,243 ms
162.159.192.188:942,0.00%,243 ms
188.114.96.150:4233,0.00%,243 ms
162.159.192.250:894,0.00%,243 ms
188.114.98.11:945,0.00%,243 ms
188.114.98.11:4233,0.00%,243 ms
188.114.96.48:4177,0.00%,243 ms
188.114.96.19:3476,0.00%,243 ms
162.159.192.133:1014,0.00%,243 ms
188.114.98.212:8886,0.00%,243 ms
162.159.192.115:1014,0.00%,243 ms
162.159.192.141:1014,0.00%,243 ms
188.114.98.204:8886,0.00%,243 ms
188.114.97.129:890,0.00%,243 ms
188.114.99.84:1014,0.00%,243 ms
188.114.99.51:500,0.00%,243 ms
162.159.195.100:894,0.00%,243 ms
188.114.96.230:943,0.00%,243 ms
188.114.96.57:4177,0.00%,243 ms
188.114.99.83:1014,0.00%,243 ms
188.114.99.30:4177,0.00%,243 ms
188.114.98.201:8886,0.00%,243 ms
188.114.96.68:968,0.00%,243 ms
188.114.98.254:880,0.00%,243 ms
188.114.96.155:3581,0.00%,243 ms
188.114.96.120:943,0.00%,243 ms
188.114.98.107:939,0.00%,243 ms
188.114.97.97:908,0.00%,243 ms
188.114.98.72:8742,0.00%,243 ms
188.114.99.43:894,0.00%,243 ms
188.114.97.139:968,0.00%,243 ms
188.114.96.126:891,0.00%,243 ms
188.114.97.119:968,0.00%,243 ms
188.114.99.61:894,0.00%,243 ms
188.114.98.215:864,0.00%,243 ms
188.114.97.65:987,0.00%,243 ms
188.114.99.236:1701,0.00%,243 ms
188.114.96.154:4233,0.00%,243 ms
188.114.99.245:8886,0.00%,243 ms
188.114.99.237:8886,0.00%,243 ms
188.114.96.138:3581,0.00%,243 ms
162.159.192.85:988,0.00%,243 ms
162.159.192.229:1010,0.00%,243 ms
188.114.96.233:988,0.00%,243 ms
188.114.96.175:3476,0.00%,243 ms
188.114.98.10:4233,0.00%,243 ms
162.159.192.194:934,0.00%,243 ms
162.159.192.111:500,0.00%,243 ms
162.159.192.70:942,0.00%,243 ms
162.159.195.83:8886,0.00%,243 ms
162.159.195.83:4500,0.00%,243 ms
188.114.98.81:3581,0.00%,243 ms
162.159.195.58:4177,0.00%,243 ms
188.114.97.102:968,0.00%,243 ms
188.114.98.246:5279,0.00%,243 ms
162.159.192.175:942,0.00%,243 ms
188.114.97.66:987,0.00%,243 ms
188.114.96.101:968,0.00%,243 ms
188.114.96.130:943,0.00%,243 ms
188.114.99.83:4233,0.00%,243 ms
188.114.96.142:3581,0.00%,243 ms
162.159.192.137:1014,0.00%,243 ms
188.114.96.106:3476,0.00%,243 ms
162.159.192.233:7156,0.00%,243 ms
188.114.96.209:943,0.00%,243 ms
188.114.96.144:4233,0.00%,243 ms
162.159.192.136:891,0.00%,243 ms
188.114.96.164:3476,0.00%,243 ms
188.114.98.231:864,0.00%,243 ms
188.114.96.252:942,0.00%,243 ms
162.159.192.54:942,0.00%,243 ms
188.114.96.123:943,0.00%,243 ms
188.114.98.73:987,0.00%,243 ms
188.114.99.56:500,0.00%,243 ms
188.114.97.87:908,0.00%,243 ms
188.114.98.253:880,0.00%,243 ms
162.159.192.243:1701,0.00%,243 ms
188.114.96.162:2408,0.00%,243 ms
188.114.97.64:987,0.00%,243 ms
188.114.97.107:890,0.00%,243 ms
188.114.99.245:1701,0.00%,243 ms
162.159.192.227:7156,0.00%,243 ms
162.159.195.119:908,0.00%,243 ms
162.159.192.231:1010,0.00%,243 ms
188.114.97.23:1387,0.00%,243 ms
188.114.97.73:988,0.00%,243 ms
188.114.98.149:1387,0.00%,243 ms
188.114.97.153:1843,0.00%,243 ms
162.159.195.84:4500,0.00%,243 ms
188.114.96.147:4233,0.00%,243 ms
188.114.98.232:8886,0.00%,243 ms
162.159.192.141:891,0.00%,243 ms
188.114.96.66:968,0.00%,243 ms
188.114.98.31:945,0.00%,243 ms
188.114.96.39:4233,0.00%,243 ms
188.114.97.92:8854,0.00%,243 ms
188.114.99.3:4177,0.00%,243 ms
188.114.96.61:1387,0.00%,243 ms
162.159.192.88:942,0.00%,243 ms
188.114.96.84:1387,0.00%,243 ms
188.114.96.84:968,0.00%,243 ms
188.114.96.231:943,0.00%,243 ms
188.114.99.63:894,0.00%,243 ms
188.114.99.34:4177,0.00%,243 ms
162.159.192.174:934,0.00%,243 ms
188.114.98.23:945,0.00%,243 ms
188.114.96.149:3581,0.00%,243 ms
162.159.192.52:988,0.00%,243 ms
188.114.96.230:988,0.00%,243 ms
188.114.96.69:1387,0.00%,243 ms
188.114.99.87:880,0.00%,243 ms
188.114.98.163:891,0.00%,243 ms
188.114.99.70:500,0.00%,243 ms
188.114.98.221:864,0.00%,243 ms
188.114.98.105:939,0.00%,243 ms
188.114.96.36:4233,0.00%,243 ms
188.114.96.35:4177,0.00%,243 ms
188.114.96.43:4233,0.00%,243 ms
162.159.195.56:943,0.00%,243 ms
162.159.192.84:988,0.00%,243 ms
162.159.192.106:500,0.00%,243 ms
188.114.97.82:8854,0.00%,243 ms
188.114.98.138:894,0.00%,243 ms
162.159.195.103:908,0.00%,243 ms
188.114.97.68:987,0.00%,243 ms
162.159.192.246:1074,0.00%,243 ms
188.114.99.49:894,0.00%,243 ms
162.159.192.91:988,0.00%,243 ms
188.114.98.211:864,0.00%,243 ms
188.114.98.30:4233,0.00%,243 ms
162.159.192.69:988,0.00%,243 ms
188.114.99.254:8886,0.00%,243 ms
188.114.98.238:3854,0.00%,243 ms
188.114.96.153:4233,0.00%,243 ms
188.114.99.48:500,0.00%,243 ms
162.159.192.154:942,0.00%,243 ms
162.159.192.88:988,0.00%,243 ms
188.114.98.197:864,0.00%,243 ms
188.114.98.129:987,0.00%,243 ms
188.114.96.108:943,0.00%,243 ms
188.114.97.32:1010,0.00%,243 ms
188.114.98.72:987,0.00%,243 ms
162.159.192.135:891,0.00%,243 ms
188.114.99.45:500,0.00%,243 ms
188.114.97.36:1010,0.00%,243 ms
188.114.97.69:988,0.00%,243 ms
188.114.99.82:1014,0.00%,243 ms
188.114.99.244:8886,0.00%,243 ms
162.159.192.50:3138,0.00%,243 ms
162.159.192.173:942,0.00%,243 ms
188.114.98.106:1387,0.00%,243 ms
188.114.97.77:988,0.00%,243 ms
188.114.97.77:987,0.00%,243 ms
162.159.192.187:942,0.00%,243 ms
188.114.97.112:968,0.00%,243 ms
188.114.97.12:1010,0.00%,243 ms
